question,answer1,answer2,answer3,answer4,answerindex,topic,difficulty,
If matrix A is a 2 x 3 matrix and matrix B is a 3 x 4 matrix what are the dimensions of the resulting matrix when multiplying A by B?,2 x 3,2 x 4,3 x 3,3 x 4,1,0,0,
In a 2 x 2 matrix how many elements are there in total?,1,2,3,4,3,0,0,
In matrix multiplication if A is an m x n matrix and B is a p x q matrix under what condition can the matrices A and B be multiplied?,m = q,n = p,m = p,n = q,1,0,1,
Let A = {a b c} and B = {c d e}. What is the cardinality (number of elements) of the union of sets A and B?,3,4,5,6,2,0,1,
Given two sets A = {1 2 3 4} and B = {3 4 5 6} what is the complement of set B with respect to set A?,{1 2 3 4 5 6},{1 2 3 4},{5 6},{3 4},1,0,2,
How many subsets can be formed from a set with 4 elements including the empty set and the set itself?,4,8,12,16,1,0,2,
What is the primary function of a computer's BIOS (Basic Input/Output System)?,Running applications,Managing user accounts,Initializing hardware and booting the operating system,Handling network communication,2,1,0,
Which of the following components of a computer is not volatile memory?,RAM,Cache,Hard drive,CPU Registers,2,1,0,
What data structure uses the Last-In-First-Out (LIFO) principle?,Queue,Stack,Array,List,1,1,1,
What is an algorithm?,A computer program,A step-by-step procedure for solving a problem,A type of data structure ,A programming language,1,1,1,
In a computer what is the purpose of the system bus?,To connect the CPU to the hard drive,To connect the CPU to the network,To facilitate communication between the CPU and memory and input/output devices,To execute complex algorithms,2,1,2,
What is the role of the Memory Management Unit (MMU) in a computer system?,To perform complex mathematical calculations,To manage the flow of data within the CPU,To control the execution of instructions,To translate virtual addresses into physical addresses for memory access,3,1,2,
Look at the following Boolean logic: E ::= true | false | x | notE | E ^ E | E v E | E -> E | E <-> E Which of the following can be considered the essential operators? ,E ::= true | x | notE | E v E, E ::= true | x | E ^ E | E v E , E ::= true | x | E ^ E | E v E | E <-> E, E ::= true | false | x | E ^ E | E v E ,0,2,0,
In the lattice of natural numbers (N) with the ordering relation (≤) which of the following represents a sublattice?, A.{1 3 5 7 ...},B.{0 2 4 6 ...},C.{1 2 3 4 ...},D.{1 4 9 16 ...},1,2,0,
What is an Order Homomorphism in the context of ordered algebraic structures?,A function that doesn't preserve the order but preserves operations,A function that only preserves the order of elements,A function that preserves both the order and binary operations,A function that creates a new order on the elements,2,2,1,
What is the main difference between syntactic equivalence and semantic equivalence in programming languages?,Syntactic equivalence deals with code structure while semantic equivalence focuses on code meaning.,Syntactic equivalence pertains to code efficiency while semantic equivalence relates to code readability, Syntactic equivalence ensures code security while semantic equivalence ensures code compatibility.,Syntactic equivalence is used for debugging while semantic equivalence is used for code optimization.,0,2,1,
In ROBDD (Reduced Ordered Binary Decision Diagram) if we were to have n variables how many decision nodes would this induce?,2^n ,2^n + 1 ,2^n - 1 ,2^n - 2,2,2,2,
In the context of partial orders what are Suprema and Infima?,Suprema and Infima are the same and can be used interchangeably,Suprema are upper bounds while Infima are lower bounds.,Suprema are the greatest lower bounds while Infima are the least upper bounds.,Suprema and infima are concepts unrelated to partial orders.,2,2,2,
